source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
musingsmemorieso00hensuoft,1509443756945,"","http://dbpedia.org/resource/George_Henschel",173824,175006,516273,0,2,0,0,-1,-542825
musicallettersf00unkngoog,1448659731374,"","",325101,325632,571646,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436522398418,"http://dbpedia.org/resource/London","",471475,474674,492418,97,0,1,0,0,-1
cu31924026124648,1438011901048,"http://dbpedia.org/resource/Palace_Theatre,_London","",193216,194873,534882,12,0,0,0,-841971,-1
thirtyyearsofmus00kleiuoft,1438974326915,"http://dbpedia.org/resource/Covent_Garden","",72942,74076,565930,56,0,0,0,-1016613,-1
thirtyyearsofmus00klei,1438442848699,"http://dbpedia.org/resource/Theatre_Royal,_Drury_Lane","",330273,331468,578001,69,0,2,0,0,-1
thirtyyearsofmus00kleiuoft,1439054737893,"http://dbpedia.org/resource/London","",116703,119325,565930,409,0,1,0,0,-1
recentmusicmusic00mosc,1431441360624,"http://dbpedia.org/resource/London","",667425,667784,968055,220,0,0,0,-1239474,-1
thirtyyearsofmus00klei,1438253344818,"","",172104,173862,578001,0,0,0,0,-1,-1
lifereminiscence00elveuoft,1432901445186,"http://dbpedia.org/resource/Windsor_Castle","",56648,57401,393672,67,0,0,0,-711369,-1
thirtyyearsofmus00kleiuoft,1439315648745,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",209507,211661,565930,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448316586529,"","",210063,210676,571646,0,0,0,0,-1,-1
memoirsofcountbo00boruuoft,1447059552232,"http://dbpedia.org/resource/Portpatrick","",238781,239256,377699,2,0,0,0,-240184,-1
musicallettersf00unkngoog,1448359440819,"","",262798,263081,571646,0,0,0,0,-1,-1
lettersofcompose00norm,1424684498170,"http://dbpedia.org/resource/Munich","",290642,291438,916583,7,0,0,0,-1070489,-1
musicallettersf00unkngoog,1449009694213,"http://dbpedia.org/resource/London","",473488,474406,571646,48,0,0,0,-661816,-1
thirtyyearsofmus00klei,1438443458585,"http://dbpedia.org/resource/Covent_Garden","",334893,335867,578001,54,0,0,0,-805671,-1
recentmusicmusic00mosc,1429619541244,"http://dbpedia.org/resource/London","",325917,326637,968055,220,0,0,0,-1580621,-1
thirtyyearsofmus00klei,1438161785448,"http://dbpedia.org/resource/Drury_Lane","",31562,32152,578001,1,0,0,0,-473196,-1
reminiscencesofm02kellrich,1438689541013,"","",403594,405081,520572,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448660077114,"","",325649,326956,571646,0,0,0,0,-1,-1
cu31924022334563,1438766236725,"","",414175,414741,827587,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448366107348,"","",271942,274304,571646,0,0,0,0,-1,-1
